state,county,tract,intptlat,intptlon,alandsqkm,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21
39,3,13900,40.7960827,-84.3058099,69.531673,451223.4307,3347,1437,0.149387511,8.813863161,7.740585774,98.08783986,78.92777364,21.07222636,14.40501044,6.541405706,0,1.36286201,0.39750142,97.84213515,52829,99300,532,6.2,5.107951553,70.30729359,3352,1553,9.546539379,0.387828162,9.142857143,98.00119332,67.53507014,32.46492986,18.41596909,3.605924018,0.648508431,0.713359274,0,93.12581064,50375,96200,667,6.1,4.460966543,59.73353072
39,113,21200,39.711116,-84.1308742,2.234954,243061.7611,1704,834,5.692488263,9.741784038,5.251141553,86.85446009,61.51866152,38.48133848,29.3764988,6.834532374,5.005213764,4.588112617,0,85.818561,51116,123700,487,5.6,6.67311412,72.76565799,1933,800,8.168574402,8.070356958,4.276985743,83.49715468,76.57068063,23.42931937,18.875,4.5,0,2.844141069,0,93.97042093,66125,143400,596,6.1,3.812636166,61.40468227
39,113,21301,39.7249526,-84.1155057,4.490906,246460.0241,3006,1200,0.798403194,18.22133066,12.21264368,94.74384564,70.32667877,29.67332123,14.08333333,8.166666667,0.687285223,0.171821306,0.687285223,93.38487973,42296,83900,676,5.5,12.8358209,62.5,2913,1144,9.85915493,2.334363199,15.07823613,95.36560247,67.0212766,32.9787234,9.265734266,1.398601399,0,1.064537591,0,95.47571524,55733,98000,938,5.8,2.554278416,68.44405594
39,113,21302,39.703211,-84.113444,1.170526,245023.3421,1953,972,2.764976959,14.28571429,11.81988743,96.97900666,65.40731995,34.59268005,11.31687243,12.8600823,0.791295747,0,0,97.8239367,41641,87400,926,5.2,7.985480944,70.1910828,1931,954,6.784049715,3.107198343,3.571428571,85.8104609,64.73799127,35.26200873,9.853249476,3.983228512,0,1.204819277,0.657174151,92.44249726,53913,94600,1094,5.1,4.079497908,61.28205128
39,113,21400,39.6940166,-84.1170954,2.209546,239884.561,2744,1159,4.664723032,10.45918367,6.864064603,92.12827988,72.35555556,27.64444444,17.16997412,2.933563417,0,1.782945736,0.465116279,89.76744186,48194,114600,691,6,2.867647059,62.84658041,2615,1214,9.366602687,3.977055449,5.131578947,87.15105163,71.46619842,28.53380158,24.29983526,6.177924217,0,1.913536499,0,90.57406095,74044,139400,838,5.6,3.024054983,71.14914425
39,113,21501,39.6975263,-84.1325375,1.791004,239441.2481,2934,1299,4.533060668,17.65507839,14.62728551,88.47989093,59.82142857,40.17857143,29.02232487,5.157813703,1.772324472,5.180640763,1.840490798,88.82072256,50729,103300,750,5.3,10.56085919,75.12326311,2557,1210,13.02307391,3.832616347,11.4490161,79.54634337,65.44642857,34.55357143,20.16528926,7.438016529,6.983441325,0.719942405,0,89.27285817,60882,109300,976,5.1,7.554671968,74.92552135
39,153,530606,41.1834531,-81.4080791,6.067175,133970.3101,5680,2151,4.084507042,3.433098592,1.509186352,94.33098592,88.4404584,11.5595416,15.89958159,6.694560669,1.339136257,1.205222631,0,96.38433211,86350,187200,618,7.3,8.317986495,73.94462097,5595,2202,4.3758967,1.197497766,1.767215113,93.70866845,81.91489362,18.08510638,10.67211626,1.816530427,0.063211125,0,0,82.36409608,105069,234500,1138,8.1,1.791782515,73.46799818
39,153,530700,41.161137,-81.4643845,3.684189,133384.4119,2518,1049,4.328832407,2.144559174,0,95.67116759,92.43188698,7.568113017,1.525262154,5.52907531,0.72815534,1.213592233,0,90.12944984,94861,197600,1345,7.5,2.966432475,59.63687151,2569,1077,2.063059556,2.101985208,0.807537012,92.68197742,91.5625,8.4375,0,10.86350975,0,0.832639467,0,87.3438801,124286,245600,1760,7.8,4.041204437,59.05474965
39,153,530901,41.1050858,-81.453884,6.851636,152219.3008,4685,2031,5.186766275,22.75409836,21.36325852,82.09178228,57.35217164,42.64782836,35.89364845,5.908419498,0.332042059,1.051466519,0,96.45821804,39632,135500,696,5.2,11.80555556,58.64784143,4300,2076,10.38898285,5.76744186,4.426377597,81.27906977,68.0583501,31.9416499,33.42967245,4.238921002,1.763224181,2.115869018,0,89.47103275,71688,166100,790,6,5.275229358,59.75877193
39,153,530902,41.1061185,-81.4248335,11.6537,155196.6013,5936,2654,1.650943396,13.63870304,8.369230769,97.77628032,79.42603072,20.57396928,16.95553881,6.782215524,0.757575758,0,0,97.72727273,49167,157700,674,6.1,5.241660994,58.50258861,7204,2933,6.011544418,9.619655747,3.860391327,85.28595225,77.16701903,22.83298097,20.79781793,3.239004432,0.590287094,0.321974779,0,90.9847062,79853,179600,921,6.6,2.156812992,64.70201937
