state,county,tract,intptlat,intptlon,alandsqkm,dist_to_rail,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21,density_population15,density_population21,density_unitstot15,density_unitstot21,change_population,change_unit,change_medhhinc,change_medhhval,change_medgrossrent,tracts_shrank_population,tracts_grew_population,added_100_units,lost_100_units
34,5,702601,40.0008548,-74.7832822,2.609432,29874.1208,104541.1835,4197,1693,6.838217775,4.90826781,0.0,70.71717894,74.30203046,25.69796954,15.77082103,6.910809214,1.538461538,1.091811414,0.0,93.00248139,68355,206800,1149,6.2,12.55946717,62.02419593,4004,1679,4.87012987,9.615384615,0.865384615,67.80719281,83.79244074,16.20755926,14.59201906,7.027992853,0.642742367,3.053026245,0.0,91.3765399,86829,209700,1409,6.1,7.817258883,60.11595972,1608.3960034214342,1534.4335472240703,648.8001986639238,643.4350464009026,-193,-14,18474,2900,260,1,0,0,0
34,5,702905,39.9288641,-74.9394574,3.30395,23917.97822,58894.73806,4095,1780,13.18681319,3.882783883,4.228121927,83.80952381,61.9760479,38.0239521,39.88764045,6.179775281,0.63810392,0.911577028,0.0,94.02917046,92794,297900,1373,6.8,4.497816594,66.90037978,4854,2046,3.019648397,14.31808817,1.421800948,80.05768438,65.23760331,34.76239669,32.11143695,5.376344086,4.645760743,0.309717383,0.0,86.56600852,102063,321500,1594,6.7,7.265569077,71.62266086,1239.4255361007279,1469.1505622058446,538.7490730791931,619.2587660224882,759,266,9269,23600,221,0,1,1,0
34,5,702909,39.9453589,-74.9279509,5.687458,28100.12793,61600.26931,5976,2588,10.9103079,1.25502008,0.742574257,72.62382865,88.83043302,11.16956698,16.4992272,4.520865533,2.331606218,0.921128382,0.0,90.81750144,100938,274300,1744,6.8,6.278386321,77.68783728,6603,2614,4.043616538,19.55171892,4.980842912,62.66848402,80.21806854,19.78193146,15.26396327,1.759755164,2.065755019,0.843759092,0.0,82.57201047,110765,291700,1679,6.7,4.300776915,66.15271659,1050.7330339846026,1160.9756063253565,455.03632730123013,459.6077896311498,627,26,9827,17400,-65,0,1,0,0
34,5,703202,39.9160075,-74.7618469,39.829581,46759.22826,105515.1029,2684,954,3.874813711,2.051473331,1.694915254,96.64679583,93.71492705,6.285072952,0.0,6.603773585,0.769822941,2.232486528,0.0,87.83679754,94107,328800,1461,8.0,6.312056738,65.27777778,3160,1077,4.565916399,1.329113924,3.015681544,92.1835443,91.89453125,8.10546875,0.371402043,4.921077066,1.327140013,0.331785003,0.0,92.76708693,115543,364300,2200,8.0,5.593966059,64.83292584,67.387101059386,79.3380176407078,23.952047097859253,27.04020411362098,476,123,21436,35500,739,0,1,1,0
34,5,703802,39.9085058,-74.8431516,16.669942,40297.09257,84920.7513,4138,1863,8.989850169,7.032382794,1.346499102,92.02513291,58.23991031,41.76008969,37.78851315,4.240472356,0.355397601,1.732563305,1.732563305,89.56019547,78000,322800,1214,5.5,5.699056991,71.31578947,5107,2317,6.109261798,6.657528882,2.860944777,91.40395536,71.60883281,28.39116719,26.4997842,4.229607251,11.94859326,0.694685655,0.0,76.4501563,109479,364000,1374,6.0,2.043551089,67.76390465,248.23121760111704,306.3597941732491,111.75803731050775,138.99268515751285,969,454,31479,41200,160,0,1,1,0
34,5,704004,39.9061676,-74.9310807,3.543844,24409.10601,63301.64705,3784,1787,15.27484144,7.082452431,7.101727447,82.69027484,53.00416419,46.99583581,47.1740347,5.931729155,2.70750111,0.0,0.488237905,92.4545051,67906,246700,1118,4.7,6.611570248,75.1786269,3826,2107,6.666666667,10.29796132,6.642066421,83.76894929,39.44584383,60.55415617,57.28523968,5.790223066,1.587301587,1.491101491,1.77970178,80.03848004,68480,257000,1291,4.5,2.941176471,63.07420495,1067.7670913279478,1079.6186288109748,504.2547019564067,594.5521303985164,42,320,574,10300,173,0,1,1,0
34,29,727002,39.9548843,-74.0817308,1.610458,42974.50272,280046.2925,1185,2418,5.485232068,10.04219409,7.902735562,98.56540084,81.91176471,18.08823529,28.99090157,71.87758478,4.887983707,4.887983707,1.425661914,73.11608961,61346,465600,1711,4.8,14.33506045,51.60427807,1378,2406,5.370101597,3.846153846,1.89701897,97.82293179,85.15519568,14.84480432,25.68578554,69.20199501,6.807866868,0.0,1.664145234,79.42511346,90417,558100,1785,5.9,6.293706294,55.59875583,735.815525769688,855.6572105574936,1501.436237393338,1493.9849409298474,193,-12,29071,92500,74,0,1,0,0
34,29,729000,39.924572,-74.1365829,1.165291,56081.45127,285275.0263,2105,1190,1.995249406,12.85714286,13.98963731,98.14726841,71.36038186,28.63961814,15.29411765,29.57983193,2.843137255,1.176470588,0.0,93.92156863,66667,252700,1633,5.7,9.130060293,66.30496859,1629,1242,5.768025078,1.718845918,7.088607595,98.21976673,74.76882431,25.23117569,6.280193237,39.04991948,0.0,1.568627451,0.0,87.7124183,59397,268300,1773,5.7,6.257521059,60.0433526,1806.4157364984367,1397.9340782688614,1021.2041455739381,1065.8281922712868,-476,52,-7270,15600,140,1,0,0,0
34,29,730000,39.9360583,-74.1697895,1.647756,59387.27988,275266.8013,2175,893,3.816091954,3.712296984,1.98019802,97.6091954,94.0316687,5.968331303,0.0,8.062709966,1.027077498,0.0,0.0,94.30438842,89750,298300,1618,6.8,6.011854361,67.2168469,2318,1026,8.04150454,7.463330457,7.528409091,92.57981018,93.46110485,6.538895152,4.580896686,13.54775828,1.663893511,1.663893511,0.0,89.85024958,100750,344400,1350,6.3,2.733118971,62.63846928,1319.9769868839803,1406.7616807342836,541.9491720861583,622.66500622665,143,133,11000,46100,-268,0,1,1,0
34,29,731001,39.9205774,-74.1228296,6.950126,51436.75339,283420.6926,3108,1872,4.375804376,2.806451613,0.771775083,96.17117117,95.95083153,4.049168474,6.891025641,26.12179487,0.572883514,0.954805856,0.0,91.08847868,80377,264200,1744,6.3,9.351692484,64.65133531,3073,1743,4.262935242,8.786202408,2.471910112,91.24633908,96.55442443,3.445575568,3.729202524,26.73551348,1.25284738,0.0,0.455580866,88.2118451,101713,366400,1775,6.5,2.62438491,67.09464417,447.18613734484813,442.15025741979355,269.3476348486344,250.7868202677189,-35,-129,21336,102200,31,1,0,0,1
